Sample_ID,Genome,Study,Country,Region,Year,Accession,Database,Continent,updated_arc,updated_Subtype
PV0112-C.g6,PV0112-C,1008-PF-SEA-RINGWALD,Vietnam,Binh Phuoc,2010,ERR126553,varDB,Asia,DBLa1.2-CIDRa1.1-DBLb12-DBLg6-DBLg11-DBLd1-CIDRb1,DBLa1.2-CIDRa1.1 head structure with DBLg6
PV0114-C.g65,PV0114-C,1008-PF-SEA-RINGWALD,Vietnam,Binh Phuoc,2010,ERR126394,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6,DBLa2-CIDRa1.1 head structure with DBLg6
PV0116-C.g70,PV0116-C,1008-PF-SEA-RINGWALD,Vietnam,Binh Phuoc,2010,ERR126470,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6,DBLa2-CIDRa1.1 head structure with DBLg6
PV0117-C.g37,PV0117-C,1008-PF-SEA-RINGWALD,Vietnam,Binh Phuoc,2010,ERR126395,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRg5,DBLa2-CIDRa1.8 head structure with DBLg4
PV0118-C.g67,PV0118-C,1008-PF-SEA-RINGWALD,Vietnam,Binh Phuoc,2010,ERR126563,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6,DBLa2-CIDRa1.1 head structure with DBLg6
PV0120-C.g9,PV0120-C,1008-PF-SEA-RINGWALD,Vietnam,Binh Phuoc,2010,ERR126564,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLz3-DBLe6-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg6
PV0124-C.g62,PV0124-C,1008-PF-SEA-RINGWALD,Vietnam,Binh Phuoc,2010,ERR126010,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6,DBLa2-CIDRa1.1 head structure with DBLg6
PV0126-C.g35,PV0126-C,1008-PF-SEA-RINGWALD,Vietnam,Binh Phuoc,2010,ERR126434,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6,DBLa2-CIDRa1.1 head structure with DBLg6
PV0127-C.g41,PV0127-C,1008-PF-SEA-RINGWALD,Vietnam,Binh Phuoc,2010,ERR126382,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz1-DBLe6,DBLa2-CIDRa1.8 head structure with DBLg4
PV0137-C.g12,PV0137-C,1008-PF-SEA-RINGWALD,Vietnam,Binh Phuoc,2010,ERR126024,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6,DBLa2-CIDRa1.1 head structure with DBLg6
PV0138-C.g5,PV0138-C,1008-PF-SEA-RINGWALD,Vietnam,Binh Phuoc,2010,ERR126025,varDB,Asia,DBLa1.2-CIDRa1.1-DBLb12-DBLg6-DBLg11-DBLd1,DBLa1.2-CIDRa1.1 head structure with DBLg6
PV0147-C.g47,PV0147-C,1008-PF-SEA-RINGWALD,Vietnam,Binh Phuoc,2010,ERR126384,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg4
PV0148-C.g3,PV0148-C,1008-PF-SEA-RINGWALD,Vietnam,Binh Phuoc,2010,ERR126435,varDB,Asia,DBLa1.2-CIDRa1.1-DBLb12-DBLg6-DBLg11-DBLd1-CIDRb1,DBLa1.2-CIDRa1.1 head structure with DBLg6
PV0182-C.g24,PV0182-C,1008-PF-SEA-RINGWALD,Vietnam,Binh Phuoc,2011,ERR126566,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz2-DBLe4,DBLa2-CIDRa1.8 head structure with DBLg4
PV0183-C.g27,PV0183-C,1008-PF-SEA-RINGWALD,Vietnam,Binh Phuoc,2011,ERR126399,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz5-DBLe4,DBLa2-CIDRa1.8 head structure with DBLg4
PV0185-C.g49,PV0185-C,1008-PF-SEA-RINGWALD,Vietnam,Binh Phuoc,2011,ERR126510,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6,DBLa2-CIDRa1.1 head structure with DBLg6
PV0211-C.g71,PV0211-C,1008-PF-SEA-RINGWALD,Vietnam,Binh Phuoc,2011,ERR126386,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz1-DBLe6,DBLa2-CIDRa1.8 head structure with DBLg4
PV0212-C.g107,PV0212-C,1008-PF-SEA-RINGWALD,Vietnam,Binh Phuoc,2011,ERR128866,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4,DBLa2-CIDRa1.1 head structure with DBLg4
PV0224-C.g22,PV0224-C,1008-PF-SEA-RINGWALD,Vietnam,Binh Phuoc,2011,ERR126569,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz1-DBLe9,DBLa2-CIDRa1.1 head structure with DBLg4
PV0226-C.g21,PV0226-C,1008-PF-SEA-RINGWALD,Vietnam,Binh Phuoc,2011,ERR126401,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb5,DBLa2-CIDRa1.1 head structure with DBLg6
PV0231-C.g106,PV0231-C,1008-PF-SEA-RINGWALD,Vietnam,Binh Phuoc,2011,ERR126414,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6,DBLa2-CIDRa1.1 head structure with DBLg6
PV0231-C.g87,PV0231-C,1008-PF-SEA-RINGWALD,Vietnam,Binh Phuoc,2011,ERR126414,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6,DBLa2-CIDRa1.1 head structure with DBLg6
PV0238-C.g4,PV0238-C,1008-PF-SEA-RINGWALD,Vietnam,Binh Phuoc,2011,ERR126015,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6,DBLa2-CIDRa1.1 head structure with DBLg6
PV0239-C.g10,PV0239-C,1008-PF-SEA-RINGWALD,Vietnam,Binh Phuoc,2011,ERR126390,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLz3-DBLe6-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg6
PV0249-Cx.g66,PV0249-Cx,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2011,ERR388792,megaDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4,DBLa2-CIDRa1.8 head structure with DBLg4
PV0252-C.g466,PV0252-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2011,ERR337569,megaDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.8 head structure with DBLg4
PV0257-C.g90,PV0257-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2011,ERR180083,megaDB,Asia,DBLa1.2-CIDRa1.1-DBLb12-DBLg6-DBLg11-DBLd1-CIDRb1,DBLa1.2-CIDRa1.1 head structure with DBLg6
PV0259-C.g251,PV0259-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2011,ERR180082,megaDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.8 head structure with DBLg4
PV0261-C.g29,PV0261-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2011,ERR171581,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLd1-CIDRb1,DBLa2-CIDRa1.8 head structure with DBLg6
PV0261-C.g32,PV0261-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2011,ERR171581,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz5-DBLe4,DBLa2-CIDRa1.8 head structure with DBLg4
PV0264-C.g560,PV0264-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2011,ERR180079,megaDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.8 head structure with DBLg4
PV0266-C.g70,PV0266-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2011,ERR180061,megaDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb1-DBLg9,DBLa2-CIDRa1.1 head structure with DBLg6
PV0267-C.g449,PV0267-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2011,ERR180087,megaDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg6
PV0269-C.g481,PV0269-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2011,ERR180074,megaDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg6
PV0270-C.g413,PV0270-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2011,ERR180075,megaDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.8 head structure with DBLg4
PV0271-C.g562,PV0271-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2011,ERR180072,megaDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz5-DBLe4,DBLa2-CIDRa1.8 head structure with DBLg4
PV0271-C.g97,PV0271-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2011,ERR180072,megaDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz1-DBLe6,DBLa2-CIDRa1.8 head structure with DBLg4
PV0272-C.g333,PV0272-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2011,ERR180062,megaDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.8 head structure with DBLg4
PV0278-C.g13,PV0278-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2011,ERR171571,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg6
PV0280-C.g159,PV0280-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2011,ERR180089,megaDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.8 head structure with DBLg4
PV0289-C.g324,PV0289-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2011,ERR180085,megaDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRg6,DBLa2-CIDRa1.8 head structure with DBLg4
PV0297-C.g340,PV0297-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2011,ERR180060,megaDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRg5,DBLa2-CIDRa1.1 head structure with DBLg4
PV0298-C.g24,PV0298-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2011,ERR171568,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz2-DBLe11-DBLe3,DBLa2-CIDRa1.8 head structure with DBLg4
PV0302-C.g596,PV0302-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2011,ERR216643,megaDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLg13-DBLd1-CIDRg9,DBLa2-CIDRa1.8 head structure with DBLg4
PV0303-C.g226,PV0303-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2011,ERR216523,megaDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg6
PV0303-C.g227,PV0303-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2011,ERR216523,megaDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLe14,DBLa2-CIDRa1.1 head structure with DBLg4
PV0304-C.g472,PV0304-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2011,ERR216543,megaDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.8 head structure with DBLg4
PV0304-C.g661,PV0304-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2011,ERR216543,megaDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLz3-DBLe6-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg6
PV0305-C.g213,PV0305-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2011,ERR216524,megaDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.8 head structure with DBLg4
PV0306-C.g506,PV0306-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2011,ERR216525,megaDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz4,DBLa2-CIDRa1.8 head structure with DBLg4
PV0309-C.g473,PV0309-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2011,ERR216526,megaDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz1-DBLe9,DBLa2-CIDRa1.8 head structure with DBLg4
PV0309-C.g92,PV0309-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2011,ERR216526,megaDB,Asia,DBLa1.2-CIDRa1.1-DBLb12-DBLg4-DBLg13-DBLd1-CIDRg9,DBLa1.2-CIDRa1.1 head structure with DBLg4
PV0314-C.g490,PV0314-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2012,ERR221514,megaDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRg6,DBLa2-CIDRa1.8 head structure with DBLg4
PV0317-C.g308,PV0317-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2012,ERR221515,megaDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLd1-CIDRb1,DBLa2-CIDRa1.8 head structure with DBLg6
PV0317-C.g352,PV0317-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2012,ERR221515,megaDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz5-DBLe4,DBLa2-CIDRa1.8 head structure with DBLg4
PV0319-C.g257,PV0319-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2012,ERR221516,megaDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLd1-CIDRb1,DBLa2-CIDRa1.8 head structure with DBLg6
PV0319-C.g327,PV0319-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2012,ERR221516,megaDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz5-DBLe4,DBLa2-CIDRa1.8 head structure with DBLg4
PV0321-C.g318,PV0321-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2012,ERR221518,megaDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz1-DBLe9,DBLa2-CIDRa1.1 head structure with DBLg4
PV0321-C.g58,PV0321-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2012,ERR221518,megaDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLg14-DBLd1-CIDRb5,DBLa2-CIDRa1.1 head structure with DBLg4
PV0323-C.g505,PV0323-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2012,ERR221520,megaDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRg6,DBLa2-CIDRa1.8 head structure with DBLg4
PV0326-C.g438,PV0326-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2012,ERR221523,megaDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRg6,DBLa2-CIDRa1.8 head structure with DBLg4
PV0329-C.g270,PV0329-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2012,ERR216528,megaDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb5,DBLa2-CIDRa1.1 head structure with DBLg6
PV0329-C.g500,PV0329-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2012,ERR216528,megaDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4,DBLa2-CIDRa1.8 head structure with DBLg4
PV0335-C.g475,PV0335-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2012,ERR216529,megaDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.8 head structure with DBLg4
PV0343-C.g714,PV0343-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2011,ERR426012,megaDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4,DBLa2-CIDRa1.8 head structure with DBLg4
PV0345-C.g739,PV0345-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2011,ERR426013,megaDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb1-DBLg9,DBLa2-CIDRa1.1 head structure with DBLg6
PV0358-C.g273,PV0358-C,1052-PF-TRAC-WHITE,Vietnam,Binh Phuoc,2012,ERR426030,megaDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.8 head structure with DBLg4
QC0167-C.g207,QC0167-C,1052-PF-TRAC-WHITE,Myanmar,Bago,2011,ERR171563,varDB,Asia,DBLa1.2-CIDRa1.1-DBLb12-DBLg6-DBLg11-DBLd1-CIDRb1,DBLa1.2-CIDRa1.1 head structure with DBLg6
QC0168-C.g477,QC0168-C,1052-PF-TRAC-WHITE,Myanmar,Bago,2011,ERR180049,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz4,DBLa2-CIDRa1.1 head structure with DBLg4
QC0169-C.g212,QC0169-C,1052-PF-TRAC-WHITE,Myanmar,Bago,2011,ERR171576,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.8 head structure with DBLg4
QC0169-C.g309,QC0169-C,1052-PF-TRAC-WHITE,Myanmar,Bago,2011,ERR171576,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg4
QC0170-C.g935,QC0170-C,1052-PF-TRAC-WHITE,Myanmar,Bago,2011,ERR180064,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1,DBLa2-CIDRa1.8 head structure with DBLg4
QC0175-C.g551,QC0175-C,1052-PF-TRAC-WHITE,Myanmar,Bago,2011,ERR175513,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6,DBLa2-CIDRa1.1 head structure with DBLg6
QC0176-C.g422,QC0176-C,1052-PF-TRAC-WHITE,Myanmar,Bago,2012,ERR246563,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz5-DBLe4,DBLa2-CIDRa1.8 head structure with DBLg4
QC0177-C.g352,QC0177-C,1052-PF-TRAC-WHITE,Myanmar,Bago,2012,ERR246564,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg4
QC0179-C.g3634,QC0179-C,1052-PF-TRAC-WHITE,Myanmar,Bago,2012,ERR246541,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg6
QC0182-C.g518,QC0182-C,1052-PF-TRAC-WHITE,Myanmar,Bago,2012,ERR246544,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg4
QC0183-C.g377,QC0183-C,1052-PF-TRAC-WHITE,Myanmar,Bago,2012,ERR246545,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz5-DBLe4,DBLa2-CIDRa1.8 head structure with DBLg4
QC0184-C.g402,QC0184-C,1052-PF-TRAC-WHITE,Myanmar,Bago,2012,ERR246546,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg4
QC0184-C.g559,QC0184-C,1052-PF-TRAC-WHITE,Myanmar,Bago,2012,ERR246546,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz4,DBLa2-CIDRa1.8 head structure with DBLg4
QC0185-C.g304,QC0185-C,1052-PF-TRAC-WHITE,Myanmar,Bago,2012,ERR246547,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg4
QC0185-C.g466,QC0185-C,1052-PF-TRAC-WHITE,Myanmar,Bago,2012,ERR246547,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz4,DBLa2-CIDRa1.8 head structure with DBLg4
QC0186-C.g593,QC0186-C,1052-PF-TRAC-WHITE,Myanmar,Bago,2012,ERR246548,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd4-CIDRd1,DBLa2-CIDRa1.1 head structure with DBLg6
QC0189-C.g453,QC0189-C,1052-PF-TRAC-WHITE,Myanmar,Bago,2012,ERR246540,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz5-DBLe4,DBLa2-CIDRa1.8 head structure with DBLg4
QC0193-C.g427,QC0193-C,1052-PF-TRAC-WHITE,Myanmar,Bago,2012,ERR246549,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg4
QC0196-C.g852,QC0196-C,1052-PF-TRAC-WHITE,Myanmar,Bago,2012,ERR246555,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz4,DBLa2-CIDRa1.8 head structure with DBLg4
QC0199-C.g603,QC0199-C,1052-PF-TRAC-WHITE,Myanmar,Bago,2012,ERR246557,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz1-DBLe6,DBLa2-CIDRa1.8 head structure with DBLg4
QC0205-C.g568,QC0205-C,1052-PF-TRAC-WHITE,Myanmar,Bago,2012,ERR246550,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4,DBLa2-CIDRa1.8 head structure with DBLg4
QC0213-C.g256,QC0213-C,1052-PF-TRAC-WHITE,Myanmar,Bago,2012,ERR246579,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.8 head structure with DBLg4
QC0215-C.g432,QC0215-C,1052-PF-TRAC-WHITE,Myanmar,Bago,2012,ERR246581,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg4
QC0219-C.g49,QC0219-C,1052-PF-TRAC-WHITE,Myanmar,Bago,2012,ERR246582,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg4
QC0220-C.g209,QC0220-C,1052-PF-TRAC-WHITE,Myanmar,Bago,2012,ERR246583,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.8 head structure with DBLg4
QC0222-C.g296,QC0222-C,1052-PF-TRAC-WHITE,Myanmar,Bago,2012,ERR337562,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.8 head structure with DBLg4
QC0231-C.g2867,QC0231-C,1052-PF-TRAC-WHITE,Myanmar,Bago,2012,ERR426047,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd5-CIDRd1-DBLb6-DBLg2,DBLa2-CIDRa1.1 head structure with DBLg4
QC0232-C.g441,QC0232-C,1052-PF-TRAC-WHITE,Myanmar,Bago,2012,ERR404208,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg4
QE0396-C.g324,QE0396-C,1052-PF-TRAC-WHITE,Laos,Attapeu,2011,ERR180080,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLd1-CIDRg5-DBLz6-DBLe6,DBLa2-CIDRa1.8 head structure with DBLg6
QE0398-C.g275,QE0398-C,1052-PF-TRAC-WHITE,Laos,Attapeu,2011,ERR180076,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1,DBLa2-CIDRa1.1 head structure with DBLg4
QE0400-C.g230,QE0400-C,1052-PF-TRAC-WHITE,Laos,Attapeu,2011,ERR180058,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg6
QE0401-C.g433,QE0401-C,1052-PF-TRAC-WHITE,Laos,Attapeu,2011,ERR216494,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz1-DBLe9,DBLa2-CIDRa1.8 head structure with DBLg4
QE0414-C.g368,QE0414-C,1052-PF-TRAC-WHITE,Laos,Attapeu,2011,ERR216499,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg4
QE0414-C.g420,QE0414-C,1052-PF-TRAC-WHITE,Laos,Attapeu,2011,ERR216499,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRg11,DBLa2-CIDRa1.8 head structure with DBLg4
QE0416-C.g490,QE0416-C,1052-PF-TRAC-WHITE,Laos,Attapeu,2011,ERR223054,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg6
QE0416-C.g995,QE0416-C,1052-PF-TRAC-WHITE,Laos,Attapeu,2011,ERR223054,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLz4,DBLa2-CIDRa1.8 head structure with DBLg6
QE0418-C.g469,QE0418-C,1052-PF-TRAC-WHITE,Laos,Attapeu,2011,ERR223056,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd6,DBLa2-CIDRa1.1 head structure with DBLg6
QE0422-C.g377,QE0422-C,1052-PF-TRAC-WHITE,Laos,Attapeu,2011,ERR223060,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRg11,DBLa2-CIDRa1.8 head structure with DBLg4
QE0423-C.g473,QE0423-C,1052-PF-TRAC-WHITE,Laos,Attapeu,2011,ERR216631,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1,DBLa2-CIDRa1.8 head structure with DBLg4
QE0424-C.g213,QE0424-C,1052-PF-TRAC-WHITE,Laos,Attapeu,2011,ERR223061,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRg6,DBLa2-CIDRa1.8 head structure with DBLg4
QE0424-C.g465,QE0424-C,1052-PF-TRAC-WHITE,Laos,Attapeu,2011,ERR223061,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd6,DBLa2-CIDRa1.1 head structure with DBLg6
QE0425-C.g1008,QE0425-C,1052-PF-TRAC-WHITE,Laos,Attapeu,2011,ERR216500,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4,DBLa2-CIDRa1.8 head structure with DBLg4
